venue,avg_first_innings_score,matches_played
Greenfield International Stadium,109.25,4
"Greenfield International Stadium, Thiruvananthapuram",153.5,10
"Ground 1, Independence Park",63.583333333333336,12
"Ground 2, Independence Park",69.375,8
Guanggong International Cricket Stadium,70.625,8
Gucherre Cricket Ground,150.5,6
"Guernsey Rovers Athletic Club Ground, Port Soif",111.6923076923077,26
Guttsta Wicked Cricket Club,32.0,2
Gymkhana Club Ground,129.0,6
"Gymkhana Club Ground, Dar-es-Salaam",62.72222222222222,18
"Gymkhana Club Ground, Nairobi",105.75757575757575,66
Hagley Oval,149.75,4
"Hagley Oval, Christchurch",135.44827586206895,29
Happy Valley Ground,115.79411764705883,34
Happy Valley Ground 2,119.14285714285714,14
Harare Sports Club,135.8581081081081,148
Haslegrave Ground,102.0,8
Hazelaarweg,148.9,10
"Hazelaarweg, Rotterdam",109.83333333333333,24
"Headingley, Leeds",159.25,4
"High Performance Oval, Windhoek",106.65625,32
Himachal Pradesh Cricket Association Stadium,117.17647058823529,17
"Himachal Pradesh Cricket Association Stadium, Dharamsala",139.66666666666666,6
Holkar Cricket Stadium,173.0,4
"Holkar Cricket Stadium, Indore",189.5,2
Hong Kong Cricket Club,77.375,16
"Hurlingham Club Ground, Buenos Aires",101.3,30
ICC Academy,122.75,40
ICC Academy Ground No 2,136.8,10
"ICC Academy Ground No 2, Dubai",84.3,10
"ICC Academy, Dubai",119.421875,64
ICC Global Cricket Academy,118.5,4
"Independence Park, Port Vila",129.3,20
Indian Association Ground,128.3235294117647,34
"Indian Association Ground, Singapore",107.7,20
Integrated Polytechnic Regional Centre,94.53846153846153,78
"Ishoj Cricket Club, Vejledalen",101.1,20
JSCA International Stadium Complex,118.25,4
"JSCA International Stadium Complex, Ranchi",151.75,4
Jade Stadium,164.5,2
"Jimmy Powell Oval, Cayman Islands",109.5,26
Jinja Cricket Ground,84.0,4
"John Davies Oval, Queenstown",133.75,8
Johor Cricket Academy Oval,87.75,4
Junction Oval,121.05555555555556,18
Kaizuka Cricket Ground,95.875,8
Kennington Oval,135.15151515151516,33
"Kennington Oval, London",145.0,8
"Kensington Oval, Barbados",89.83333333333333,6
"Kensington Oval, Bridgetown",133.94117647058823,34
"Kensington Oval, Bridgetown, Barbados",135.075,40
Kerava National Cricket Ground,107.47222222222223,72
Kerrydale Oval,99.0,8
Khan Shaheb Osman Ali Stadium,156.25,4
King George V Sports Ground,108.6470588235294,17
"King George V Sports Ground, Castel",126.45161290322581,31
Kingsmead,131.36111111111111,36
"Kingsmead, Durban",167.8,10
Kinrara Academy Oval,120.14285714285714,63
"Kinrara Academy Oval, Kuala Lumpur",82.8695652173913,46
Koge Cricket Club,101.3,10
Koge Cricket Club 2,88.5,4
Kyambogo Cricket Oval,100.58333333333333,12
LC de Villiers Oval,115.0,2
La Manga Club Bottom Ground,72.93103448275862,29
La Manga Club Top Ground,96.46875,32
Lalabhai Contractor Stadium,107.875,8
Las Caballerizas,67.0,2
Lisicji Jarak Cricket Ground,107.05,20
Lochlands,82.71428571428571,14
Lord's,138.6315789473684,19
"Lord's, London",136.25,4
Los Reyes Polo Club,75.875,8
Lugogo Cricket Oval,116.33333333333333,6
"Lugogo Cricket Oval, Kampala",79.8,10
M Chinnaswamy Stadium,126.5,18
"M Chinnaswamy Stadium, Bangalore",26.0,1
"M Chinnaswamy Stadium, Bengaluru",153.5,2
M.Chinnaswamy Stadium,155.75,4
"MA Chidambaram Stadium, Chepauk",127.25,12
"MA Chidambaram Stadium, Chepauk, Chennai",143.42857142857142,7
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",174.0,2
Maharashtra Cricket Association Stadium,125.75,4
"Maharashtra Cricket Association Stadium, Pune",175.25,4
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",107.64285714285714,14
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",117.0,6
"Malahide, Dublin",122.25,4
"Malek Cricket Ground, Ajman",87.625,8
