match_id,team1,team2,winner,venue,date,gender,match_type,overs,team,team_score,opponent,won_toss,batting_first
1050221,Pakistan,West Indies,Pakistan,Sheikh Zayed Stadium,2016-09-27,male,T20,20,West Indies,99,Pakistan,0,0
1050615,New Zealand,Pakistan,New Zealand,Saxton Oval,2016-11-21,female,T20,20,New Zealand,109,Pakistan,1,1
1050615,New Zealand,Pakistan,New Zealand,Saxton Oval,2016-11-21,female,T20,20,Pakistan,92,New Zealand,0,0
1065348,India,Pakistan,India,Asian Institute of Technology Ground,2016-12-04,female,T20,20,India,112,Pakistan,1,1
1065348,India,Pakistan,India,Asian Institute of Technology Ground,2016-12-04,female,T20,20,Pakistan,99,India,0,0
1072316,New Zealand,Australia,Australia,Sydney Cricket Ground,2018-02-03,male,T20,20,Australia,94,New Zealand,1,1
1072316,New Zealand,Australia,Australia,Sydney Cricket Ground,2018-02-03,male,T20,20,New Zealand,105,Australia,0,0
1072317,England,Australia,Australia,Bellerive Oval,2018-02-07,male,T20,20,Australia,154,England,1,1
1072317,England,Australia,Australia,Bellerive Oval,2018-02-07,male,T20,20,England,149,Australia,0,0
1072318,England,Australia,Australia,Melbourne Cricket Ground,2018-02-10,male,T20,20,Australia,128,England,1,1
1072318,England,Australia,Australia,Melbourne Cricket Ground,2018-02-10,male,T20,20,England,128,Australia,0,0
1072319,New Zealand,England,New Zealand,Westpac Stadium,2018-02-13,male,T20,20,England,178,New Zealand,0,1
1072319,New Zealand,England,New Zealand,Westpac Stadium,2018-02-13,male,T20,20,New Zealand,183,England,1,0
1072320,New Zealand,Australia,Australia,Eden Park,2018-02-16,male,T20,20,Australia,225,New Zealand,1,1
1072320,New Zealand,Australia,Australia,Eden Park,2018-02-16,male,T20,20,New Zealand,231,Australia,0,0
1072321,England,New Zealand,England,Seddon Park,2018-02-18,male,T20,20,England,189,New Zealand,1,1
1072321,England,New Zealand,England,Seddon Park,2018-02-18,male,T20,20,New Zealand,179,England,0,0
1072322,New Zealand,Australia,Australia,Eden Park,2018-02-21,male,T20,20,Australia,115,New Zealand,1,1
1072322,New Zealand,Australia,Australia,Eden Park,2018-02-21,male,T20,20,New Zealand,142,Australia,0,0
1074957,Hong Kong,Scotland,Scotland,Sheikh Zayed Stadium,2017-01-14,male,T20,20,Hong Kong,156,Scotland,0,1
1074957,Hong Kong,Scotland,Scotland,Sheikh Zayed Stadium,2017-01-14,male,T20,20,Scotland,173,Hong Kong,1,0
1074959,Netherlands,Oman,Netherlands,Sheikh Zayed Stadium,2017-01-15,male,T20,20,Netherlands,141,Oman,1,1
1074959,Netherlands,Oman,Netherlands,Sheikh Zayed Stadium,2017-01-15,male,T20,20,Oman,129,Netherlands,0,0
1074961,Hong Kong,Oman,Oman,Sheikh Zayed Stadium,2017-01-16,male,T20,20,Hong Kong,84,Oman,0,1
1074961,Hong Kong,Oman,Oman,Sheikh Zayed Stadium,2017-01-16,male,T20,20,Oman,89,Hong Kong,1,0
1074964,Netherlands,Scotland,Scotland,Sheikh Zayed Stadium,2017-01-17,male,T20,20,Netherlands,127,Scotland,0,1
1074964,Netherlands,Scotland,Scotland,Sheikh Zayed Stadium,2017-01-17,male,T20,20,Scotland,142,Netherlands,1,0
1074965,United Arab Emirates,Ireland,Ireland,Dubai International Cricket Stadium,2017-01-18,male,T20,20,Ireland,148,United Arab Emirates,1,1
1074965,United Arab Emirates,Ireland,Ireland,Dubai International Cricket Stadium,2017-01-18,male,T20,20,United Arab Emirates,127,Ireland,0,0
1074966,Hong Kong,Netherlands,Hong Kong,Dubai International Cricket Stadium,2017-01-18,male,T20,20,Hong Kong,165,Netherlands,1,1
1074966,Hong Kong,Netherlands,Hong Kong,Dubai International Cricket Stadium,2017-01-18,male,T20,20,Netherlands,89,Hong Kong,0,0
1074968,Oman,Scotland,Scotland,Dubai International Cricket Stadium,2017-01-19,male,T20,20,Oman,115,Scotland,0,1
1074968,Oman,Scotland,Scotland,Dubai International Cricket Stadium,2017-01-19,male,T20,20,Scotland,127,Oman,1,0
1074970,Ireland,Scotland,Ireland,Dubai International Cricket Stadium,2017-01-20,male,T20,20,Ireland,205,Scotland,1,1
1074970,Ireland,Scotland,Ireland,Dubai International Cricket Stadium,2017-01-20,male,T20,20,Scotland,110,Ireland,0,0
1075507,South Africa,Bangladesh,South Africa,Mangaung Oval,2017-10-26,male,T20,20,Bangladesh,161,South Africa,0,1
1075507,South Africa,Bangladesh,South Africa,Mangaung Oval,2017-10-26,male,T20,20,South Africa,185,Bangladesh,1,0
1075508,South Africa,Bangladesh,South Africa,Senwes Park,2017-10-29,male,T20,20,Bangladesh,133,South Africa,0,1
1075508,South Africa,Bangladesh,South Africa,Senwes Park,2017-10-29,male,T20,20,South Africa,221,Bangladesh,1,0
1077947,West Indies,Pakistan,Pakistan,"Kensington Oval, Bridgetown",2017-03-26,male,T20,20,Pakistan,111,West Indies,1,1
1077947,West Indies,Pakistan,Pakistan,"Kensington Oval, Bridgetown",2017-03-26,male,T20,20,West Indies,104,Pakistan,0,0
1077948,West Indies,Pakistan,Pakistan,"Queen's Park Oval, Port of Spain",2017-03-30,male,T20,20,Pakistan,131,West Indies,1,1
1077948,West Indies,Pakistan,Pakistan,"Queen's Park Oval, Port of Spain",2017-03-30,male,T20,20,West Indies,122,Pakistan,0,0
1083449,Sri Lanka,Bangladesh,Sri Lanka,R Premadasa Stadium,2017-04-04,male,T20,20,Bangladesh,138,Sri Lanka,0,1
1083449,Sri Lanka,Bangladesh,Sri Lanka,R Premadasa Stadium,2017-04-04,male,T20,20,Sri Lanka,152,Bangladesh,1,0
1083450,Sri Lanka,Bangladesh,Bangladesh,R Premadasa Stadium,2017-04-06,male,T20,20,Bangladesh,169,Sri Lanka,1,1
1083450,Sri Lanka,Bangladesh,Bangladesh,R Premadasa Stadium,2017-04-06,male,T20,20,Sri Lanka,127,Bangladesh,0,0
1085495,West Indies,Pakistan,West Indies,"Queen's Park Oval, Port of Spain",2017-04-01,male,T20,20,Pakistan,127,West Indies,0,1
1085495,West Indies,Pakistan,West Indies,"Queen's Park Oval, Port of Spain",2017-04-01,male,T20,20,West Indies,131,Pakistan,1,0
